#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	KINGCO-007-AKQ014A	KINGCO-007-AKQ014B	KINGCO-007-AKQ01A	KINGCO-007-AKQ01B	KINGCO-007-AKQ02A	KINGCO-007-AKQ02B	KINGCO-007-AKQ03A	KINGCO-007-AKQ03B	KINGCO-007-AKQ05A	KINGCO-007-AKQ05B
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.027443	0.039361	0.022388	0.018688	0.043269	0.03091	0.006375	0.010451	0.024873	0.0
k__Bacteria|p__Firmicutes|c__CFGB10309|o__OFGB10309	0.025481	0.095598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88483|o__OFGB88483	0.021511	0.035424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB11916|o__OFGB11916	0.019521	0.012427	0.0	0.0	0.0	0.0	0.0	0.0	0.000125	0.0
k__Bacteria|p__Firmicutes|c__CFGB2957|o__OFGB2957	0.019477	0.016451	0.0	0.001478	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales	0.01933	0.052046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837	0.019033	0.050864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.018514	0.038647	0.0	0.0	0.0	0.0	0.048232	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	0.018345	0.010204	0.018149	0.010008	0.0	0.0	0.003836	0.0	0.011081	0.0
k__Bacteria|p__Firmicutes|c__CFGB30287|o__OFGB30287	0.016651	0.03682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
